Intitulé du poste,Date de publication,lieu,competences,Type de poste
['DATA ENGINEER BIG DATA - H/F\n'],"
postée il y a 2 jours
",['\nPARIS\n'],"['\nbig data\n', '\npython\n', '\nsupport\n', '\nintelligence artificielle\n', '\nhadoop\n']","['\n', '\n', 'Banque de France', '\n', 'Administration Publique', '\n', '\n', '\nCDI - temps plein\n']"
['DATA QUALITY MANAGER-(H/F)\n'],"
postée il y a 14 jours
",['\nFontenay-sous-Bois\n'],"['\ndata quality\n', '\nmarketing\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nChef de projets data - analytics H/F\n'],"
postée il y a 5 jours
","['\nGennevilliers\n', '\n60.000,00 € - 70.000,00 € / an\n']","['\nmarketing\n', '\noutils\n', '\ndigital\n', '\nux\n', '\nmobile\n']","['\n', '\n', 'Hays France', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Sécurité Cloud F/H\n'],"
postée il y a 9 jours
",['\nPuteaux\n'],"['\nsecurité\n', '\nsécurité\n', '\ncloud\n', '\nsi\n', '\niaas\n']","['\n', '\n', 'I-Tracing', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
['CONTRÔLEUR DATA QUALITY - H/F\n'],"
postée il y a 14 heures
",['\nPARIS\n'],"['\ndata quality\n', '\nsas\n', '\nsystème\n', '\nméthodologie\n', '\nsupport\n']","['\n', '\n', 'Banque de France', '\n', 'Administration Publique', '\n', '\n', '\nCDI - temps plein\n']"
['FULL STACK WEB DATA VIZ-(H/F)\n'],"
postée il y a 22 jours
",['\nFontenay-sous-Bois\n'],"['\nweb\n', '\njavascript\n', '\nopen source\n', '\nd3\n', '\nangularjs\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nArchitecte Sécurité Cloud F/H\n'],"
postée il y a 9 jours
",['\nPuteaux\n'],"['\nsecurité\n', '\nsécurité\n', '\ncloud\n', '\nsi\n', '\niaas\n']","['\n', '\n', 'I-Tracing', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
['\nDeveloppeur Junior (H/F)\n'],"
postée il y a 24 jours
",['\nLevallois-Perret\n'],"['\nsi\n', '\nweb\n', '\ninfrastructure\n', '\ncloud\n', '\nsalesforce\n']","['\n', '\n', 'Edifixio', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant technico - fonctionnel Salesforce H/F\n'],"
postée il y a 24 jours
",['\nLevallois-Perret\n'],"['\nsi\n', '\ncloud\n', '\nsalesforce\n', '\nweb\n', '\ninfrastructure\n']","['\n', '\n', 'Edifixio', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
['\nChef de projet informatique fonctionnel BI\n'],"
postée il y a 4 jours
",['\nGentilly\n'],"['\nt-sql\n', '\nrecette\n', '\nsql\n', '\ndatabase\n', '\nmaintenance\n']","['\n', '\n', 'CHRONOPOST SAS', '\n', '\n', '\nCDI - temps plein\n']"
['Apprenti(e) – Assistant(e) décisionnel Business Intelligence/Big Data H/F\n'],"
postée il y a 6 jours
",['\nTremblay-en-France\n'],"['\nbig data\n', '\ndecisionnel\n', '\nsystème\n', '\nsupport\n', '\nbusiness intelligence\n']","['\n', '\n', 'Air France', '\n', 'Client final', '\n', '\n', ""\nContrat d'apprentissage\n""]"
['2018-788 - Stage - Data et Monétisation H/F\n'],"
postée il y a 2 jours
",['\nNeuilly-sur-Seine\n'],"['\ndigital\n', '\nsupport\n', '\nsql\n', '\noutils\n', '\nmarketing\n']","['\n', '\n', 'Groupe M6', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nDéveloppeur Full Stack (H/F)\n'],"
postée il y a 24 jours
",['\nFRANCE\n'],"['\nsi\n', '\nweb\n', '\nsalesforce\n', '\ninfrastructure\n', '\nhtml5\n']","['\n', '\n', 'Edifixio', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
['Technicien de maintenance et support utilisateurs H/F\n'],"
postée il y a 7 jours
",['\nGUYANCOURT (78) face gare de St Quentin en Yveline\n'],"['\nmaintenance\n', '\nsupport\n', '\nsecurité\n', '\nréseaux\n', '\ncloud\n']","['\n', '\n', 'SPIE ICS', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['IT EXPERT SOLUTIONS (MDM) H/F\n'],"
postée il y a 21 jours
",['\nMoussy-le-Vieux\n'],"['\nsi\n', '\ntalend\n', '\ndata management\n', '\nsupport\n', '\ntest\n']","['\n', '\n', 'TEREOS', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['STAGE BI Analyste H/F - Juillet 2019\n'],"
postée il y a 1 mois
",['\nSaint-Ouen\n'],"['\noutils\n', '\nsupport\n', '\nvideo\n', '\ndecisionnel\n', '\ndata management\n']","['\n', '\n', 'Danone', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Senior Data Scientist - Services H/F\n'],"
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nsql\n', '\ndata lab\n', '\nmachine learning\n', '\nsupport\n', '\nbig data\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Model Builder / Consultant fonctionnel Anaplan\n'],"
postée il y a 11 jours
",['\nParis\n'],"['\ninternet\n', '\nsupport\n', '\nsupport applicatif\n', '\ndesign\n', '\nmoe\n']","['\n', '\n', 'Criteo', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Réseau/Sécurité H/F\n'],"
postée hier
","['\nParis\n', '\n45.000,00 € - 60.000,00 € / an\n']","['\nsécurité\n', '\nsecurité\n', '\nréseaux\n', '\nlan\n', '\nsupport\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Manager Leader – Business Analyst Titres (H/F)\n'],"
postée il y a 22 jours
",['\nIle-de-France\n'],"['\nagile\n', '\nscrum\n', '\nmoa\n', '\nprogiciel\n', '\nsystème\n']","['\n', '\n', 'Natixis', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Docker/Kubernetes/Jenkins/Ansible H/F\n'],"
postée hier
","['\nNeuilly sur seine\n', '\n42.000,00 € - 60.000,00 € / an\n']","['\ndevops\n', '\njenkins\n', '\noutils\n', '\nlinux\n', '\ninfrastructure\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Virtualisation H/F\n'],"
postée hier
","['\nNeuilly sur seine\n', '\n40.000,00 € - 55.000,00 € / an\n']","['\nsupport\n', '\nvmware\n', '\npython\n', '\njavascript\n', '\nsecurité\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Ingénieur Etudes et Développement Qlik H/F\n'],"
postée il y a 5 jours
",['\nIle-de-France\n'],"['\nqlik\n', '\nagile\n', '\nqlikview\n', '\nsql\n', '\nsupport\n']","['\n', '\n', 'Direct energie', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Post-Doctorant IA/Big Data H/F\n'],"
postée il y a 27 jours
",['\nParis\n'],"['\ndigital\n', '\nbig data\n', '\nmachine learning\n', '\nintelligence artificielle\n', '\nbases de données\n']","['\n', '\n', 'Business & Decision', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Responsable Développement Supply Chain (f/h) - CDI\n'],"
postée il y a 7 jours
","['\nLISSES\n', '\n57.000,00 € - 62.000,00 € / an\n']","['\nsupport\n', '\ncommunication\n', '\nbig data\n', '\ncloud\n', '\nhadoop\n']","['\n', '\n', 'FED IT', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Système VMWare H/F\n'],"
postée hier
","['\nNeuilly sur Seine\n', '\n40.000,00 € - 55.000,00 € / an\n']","['\nvmware\n', '\nsupport\n', '\nwindows\n', '\nmicrosoft\n', '\nsystème\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant BI junior - Direction Technique F/H\n'],"
postée il y a 1 mois
",['\nSaint-Germain-en-Laye\n'],"['\nbusiness intelligence\n', '\nbig data\n', '\njava\n', '\noutils\n', '\nsql\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Cloud Opensource H/F\n'],"
postée hier
","['\nParis\n', '\n40.000,00 € - 60.000,00 € / an\n']","['\ncloud\n', '\nsaas\n', '\npaas\n', '\niaas\n', '\ninfrastructure\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Application Engineer\n'],"
postée il y a 16 jours
",['\nLe Plessis-Robinson\n'],"['\nlattice\n', '\npython\n', '\naix\n', '\ndesign\n']","['\n', '\n', 'CS Communication & Systèmes', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
"[""Stage - Chargé d'intégration de nouvelles sources de données dans le datalake et transformation en PySpark-(H/F)\n""]","
postée il y a 20 jours
",['\nFontenay-sous-Bois\n'],"['\noutils\n', '\nsi\n', '\nlangage\n', '\nbig data\n', '\npython\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['AGILE BUSINESS ANALYST-(H/F)\n'],"
postée il y a 13 jours
",['\nFontenay-sous-Bois\n'],"['\nagile\n', '\ndata quality\n', '\nbig data\n', '\ndata management\n', '\nméthodologie\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur de Production $U H/F\n'],"
postée hier
","['\nParis\n', '\n40.000,00 € - 60.000,00 € / an\n']","['\nwindows\n', '\nunix\n', '\ncft\n', '\nréseaux\n', '\noutils\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Réseau Cisco H/F\n'],"
postée hier
","['\nParis\n', '\n40.000,00 € - 60.000,00 € / an\n']","['\nréseau\n', '\ncisco\n', '\nréseaux\n', '\nsécurité\n', '\nsecurité\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Conultant/Analyste Décisionnel ETL (Qlikview & Talend)- H/F\n'],"
postée il y a 3 heures
",['\nFrance - Antony (92) - Ile de France\n'],"['\nsap\n', '\nqlikview\n', '\netl\n', '\ntalend\n', '\nqlik\n']","['\n', '\nN/A\n', '\n', '\nCDI - temps plein\n']"
['Chef de projet Data MOA – Banque des Territoires\n'],"
postée il y a 1 mois
",['\nParis\n'],"['\nsi\n', '\nmoa\n', '\nmoe\n', '\nagile\n', '\noutils\n']","['\n', '\n', 'Caisse des Depots', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Apprenti Data Visualisation (H/F)\n'],"
postée il y a 3 jours
",['\nVélizy-Villacoublay\n'],"['\nsecurité\n', '\nsécurité\n', '\nréseaux\n', '\ncommunication\n', '\noutils\n']","['\n', '\n', 'Thales Services S.A.S.', '\n', '\n', ""\nContrat d'apprentissage\n""]"
['Data Scientist\n'],"
postée il y a 28 jours
",['\nParis\n'],"['\nmachine learning\n', '\nless\n', '\nbig data\n', '\nhadoop\n', '\nexchange\n']","['\n', '\n', 'Criteo', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Alternance - Data Project Manager-(H/F)\n'],"
postée il y a 16 jours
",['\nFontenay-sous-Bois\n'],"['\nsi\n', '\ndata management\n', '\nméthodologie\n', '\noutils\n', '\nmachine learning\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data scientist senior H/F\n'],"
postée il y a 2 jours
",['\nPoissy\n'],"['\nmarketing\n', '\npython\n', '\njava\n', '\nintelligence artificielle\n', '\nsystème\n']","['\n', '\n', 'Groupe PSA', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Architecte technique Big Data H/F\n'],"
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nbig data\n', '\noutils\n', '\nsystème\n', '\nhadoop\n', '\nscala\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Senior Data Scientist - Manufacturing H/F\n'],"
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nsql\n', '\ndata lab\n', '\nmachine learning\n', '\nbig data\n', '\nscala\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant QlikSense F/H\n'],"
postée il y a 1 mois
",['\nÎle-de-France\n'],"['\nbig data\n', '\nqlik\n', '\noutils\n', '\nbusiness intelligence\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['DCEO Cluster Manager\n'],"
postée il y a 1 mois
",['\nParis\n'],"['\nmaintenance\n', '\ncommunication\n', '\ninfrastructure\n', '\ndesign\n']","['\n', '\n', 'Amazon', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nDéveloppeur VBA / Excel (H/F) – Paris (75)\n'],"
postée il y a 27 jours
","['\nParis 9ème (75)\n', '\n30000 - 50000 €/an selon profil\n']","['\nvba\n', '\nweb\n', '\nlangage\n', '\nt-sql\n', '\nsql\n']","['\n', '\n', 'Synchrone', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['\nStage - Business Analyst IT - H/F\n'],"
postée il y a 1 mois
",['\nCourbevoie\n'],"['\njava\n', '\ninfrastructure\n', '\nangularjs\n', '\ndevops\n', '\nbig data\n']","['\n', '\nN/A\n', '\n', '\nStage\n']"
['Business Analyst (H/F)\n'],"
postée il y a 22 jours
",['\nÎle-de-France\n'],"['\ntest\n', '\nrecette\n', '\nvalidation\n', '\nmobile\n', '\nmoa\n']","['\n', '\n', 'Infotel', '\n', 'Editeur de logiciel', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant Confirmé Talend F/H\n'],"
postée il y a 1 mois
",['\nÎle-de-France\n'],"['\ntalend\n', '\nmoa\n', '\nrecette\n', '\noptimisation\n', '\noutils\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur études et développement PHP (H/F)\n'],"
postée il y a 22 jours
",['\nParis\n'],"['\nphp\n', '\nphp5\n', '\njavascript\n', '\nangularjs\n', '\nsymfony\n']","['\n', '\n', 'Infotel', '\n', 'Editeur de logiciel', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieurs MiddleWare H/F\n'],"
postée il y a 3 jours
","['\nParis\n', '\n45.000,00 € - 60.000,00 € / an\n']","['\nmiddleware\n', '\nsupport\n', '\ninfrastructure\n', '\noptimisation\n', '\npython\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nArchitecte Infrastructure IT H/F\n'],"
postée il y a 3 jours
","['\nParis\n', '\n40.000,00 € - 60.000,00 € / an\n']","['\ninfrastructure\n', '\nsupport\n', '\nsi\n', '\nsystème\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Cloud AWS H/F\n'],"
postée il y a 3 jours
","['\nParis\n', '\n38.000,00 € - 56.000,00 € / an\n']","['\ncloud\n', '\nsupport\n', '\npython\n', '\npaas\n', '\nsecurité\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Product Owner - vision 360 Tiers en environnement Big Data-(H/F)\n'],"
postée il y a 10 jours
",['\nLa Defense\n'],"['\nbig data\n', '\nmarketing\n', '\nméthodologie\n', '\ncommunication\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
"[""Stage - Assistant Maitrise d'ouvrage bancaire qualité des données-(H/F)\n""]","
postée il y a 22 jours
",['\nLa Defense\n'],"['\nsi\n', '\ndecisionnel\n', '\ndata quality\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data/Software Engineer H/F\n'],"
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nbases de données\n', '\noutils\n', '\nlinux\n', '\nbig data\n', '\npython\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant Sénior Cognos F/H\n'],"
postée il y a 1 mois
",['\nÎle-de-France\n'],"['\ncognos\n', '\nframework\n', '\netl\n', '\nbig data\n', '\noutils\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Expert technique H/F\n'],"
postée il y a 14 jours
",['\nPARAY VIEILLE POSTE\n'],"['\nsécurité\n', '\nsecurité\n', '\noutils\n', '\nwindows\n', '\ncommunication\n']","['\n', '\n', 'ERGALIS', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDD/Intérim - temps plein\n']"
['Stage - Analyses de données sur la durée de vie des freins carbone H/F\n'],"
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nsupport\n', '\ndata management\n', '\nbig data\n', '\nbases de données\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nStage\n']"
['Data manager H/F\n'],"
postée il y a 25 jours
",['\nPantin\n'],"['\noutils\n', '\ndigital\n', '\nplm\n', '\nsupport\n', '\nmoa\n']","['\n', '\n', 'Hermès', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
"[""Stage Ingénieur développement d'algorithmes d'analyse de données de vol H/F\n""]","
postée il y a 17 jours
",['\nÎle-de-France\n'],"['\nelectronique\n', '\noutils\n', '\nvalidation\n', '\ndata management\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nStage\n']"
['2019-MOA-Data-30912 - Chef de projets MOA Data H/F\n'],"
postée il y a 27 jours
",['\nParis\n'],"['\nmoa\n', '\nsi\n', '\ncrm\n', '\nsupport\n', '\nagile\n']","['\n', '\n', 'Groupama', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Développeur Big Data / Python (H/F)\n'],"
postée il y a 24 jours
",['\nÎle-de-France\n'],"['\npython\n', '\nmaintenance\n', '\nsupport\n', '\nsécurité\n', '\nbig data\n']","['\n', '\n', 'ENGIE', '\n', 'Editeur de logiciel', '\n', '\n', '\nCDI - temps plein\n']"
['Alternance - Assistant marketing private market-(H/F)\n'],"
postée il y a 7 jours
",['\nColombes\n'],"['\nmarketing\n', '\nsi\n', '\nsupport\n', '\ndata management\n', '\nréseau\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nArchitecte Poste de Travail H/F\n'],"
postée hier
","['\nParis\n', '\n50.000,00 € - 70.000,00 € / an\n']","['\nposte de travail\n', '\nmicrosoft\n', '\nsupport\n', '\ncloud\n', '\ninfrastructure\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur de production Cloud H/F\n'],"
postée il y a 3 jours
","['\nParis\n', '\n50.000,00 € - 60.000,00 € / an\n']","['\ncloud\n', '\nsecurité\n', '\ndevops\n', '\nsécurité\n', '\nsi\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Réseaux et Sécurité H/F\n'],"
postée il y a 3 jours
","['\nParis\n', '\n38.000,00 € - 55.000,00 € / an\n']","['\nréseaux\n', '\nsécurité\n', '\nsecurité\n', '\ninfrastructure\n', '\nwan\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Ingénieur QA H/F\n'],"
postée il y a 1 mois
",['\nParis\n'],"['\ndigital\n', '\ndevops\n', '\nweb\n', '\nandroid\n', '\nopen source\n']","['\n', '\n', 'KISIO', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
"[""Stage Ingénieur développement d'algorithmes d'analyse de données de vol H/F\n""]","
postée il y a 14 jours
",['\nÎle-de-France\n'],"['\nelectronique\n', '\noutils\n', '\nvalidation\n', '\ndata management\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nStage\n']"
['\nIngénieurs de Production Unix/Linux/Windows H/F\n'],"
postée il y a 3 jours
","['\nParis\n', '\n38.000,00 € - 55.000,00 € / an\n']","['\nlinux\n', '\nunix\n', '\nwindows\n', '\nhp\n', '\ninfrastructure\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Networking Cloud Support Engineer AWS\n'],"
postée il y a 27 jours
",['\nCourbevoie\n'],"['\nsupport\n', '\ncloud\n', '\nnetwork\n', '\nlinux\n', '\nwindows\n']","['\n', '\n', 'Amazon', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Systèmes Linux / DevOps H/F\n'],"
postée il y a 3 jours
",['\nParis\n'],"['\nlinux\n', '\ndevops\n', '\ninfrastructure\n', '\nmongodb\n', '\napache\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur DevOps H/F\n'],"
postée il y a 20 jours
","['\nParis\n', '\n40.000,00 € - 60.000,00 € / an\n']","['\ndevops\n', '\noutils\n', '\nlinux\n', '\ninfrastructure\n', '\njenkins\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Alternance - Bigdata DataScience - H/F\n'],"
postée il y a 1 mois
",['\nPalaiseau\n'],"['\nréseau\n', '\nsi\n', '\ninfrastructure\n', '\nréseaux\n', '\nbig data\n']","['\n', '\n', 'EDF France', '\n', 'Client final', '\n', '\n', '\nContrat de professionnalisation\n']"
['\nIngénieur de production Cloud H/F\n'],"
postée hier
","['\nNeuilly-sur-Seine\n', '\n45.000,00 € - 60.000,00 € / an\n']","['\ncloud\n', '\ndevops\n', '\nsécurité\n', '\nsecurité\n', '\nsql server\n']","['\n', '\n', 'Uniware Global Services', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Ingénieur/développeur en IA\n'],"
postée il y a 21 jours
",['\nParis\n'],"['\nintelligence artificielle\n', '\noutils\n', '\nréseaux\n', '\nmachine learning\n', '\nbig data\n']","['\n', '\n', 'Iliad-Free', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Consultant(e) Web Analyst H/F\n'],"
postée il y a 27 jours
",['\nParis\n'],"['\ndigital\n', '\nweb\n', '\noutils\n', '\njavascript\n', '\nrecette\n']","['\n', '\n', 'Business & Decision', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
